tag,season,group,fixture_id,date,home,away,scenario_home,scenario_away,mult_home,mult_away,nontrivial,result_1x2,gh,ga,l3_home,l3_draw,l3_away,l3_xg_home,l3_xg_away,l3_over25,ctx_home,ctx_draw,ctx_away,ctx_xg_home,ctx_xg_away,ctx_over25
Euro,2024,Euro2024#G5,1145535,2024-06-26,Czechia,Türkiye,tercero_en_disputa,le_vale_empate,1.0,0.97,1,A,1.0,2.0,0.3767,0.3106,0.3127,1.428,1.231,0.4961,0.3945,0.307,0.2985,1.428,1.194,0.4869
Euro,2024,Euro2024#G5,1189854,2024-06-26,Georgia,Portugal,debe_ganar,ya_clasificado,1.08,0.92,1,H,2.0,0.0,0.0628,0.1298,0.8074,0.384,2.274,0.4961,0.0601,0.1842,0.7558,0.415,2.092,0.458
GoldCup,2019,GoldCup2019#G0,255401,2019-06-24,Canada,Cuba,le_vale_empate,debe_ganar,0.97,1.08,1,H,7.0,0.0,0.7137,0.1894,0.0968,2.1,0.558,0.4961,0.6924,0.1891,0.1185,2.037,0.603,0.4916
GoldCup,2019,GoldCup2019#G0,255402,2019-06-24,Martinique,Mexico,tercero_en_disputa,le_vale_empate,1.0,0.97,1,A,2.0,3.0,0.1584,0.1953,0.6463,0.636,2.023,0.4961,0.1586,0.1964,0.645,0.636,1.962,0.481
GoldCup,2019,GoldCup2019#G1,255403,2019-06-24,Bermuda,Nicaragua,tercero_en_disputa,eliminado,1.0,0.95,1,H,2.0,0.0,0.4512,0.2769,0.272,1.504,1.155,0.4961,0.4383,0.2974,0.2642,1.504,1.097,0.4817
GoldCup,2019,GoldCup2019#G1,255404,2019-06-25,Haiti,Costa Rica,intrascendente,intrascendente,0.9,0.9,1,H,2.0,1.0,0.2502,0.2495,0.5003,0.997,1.661,0.4961,0.2428,0.2901,0.467,0.897,1.495,0.4283
GoldCup,2019,GoldCup2019#G2,255405,2019-06-26,Jamaica,Curaçao,le_vale_empate,tercero_en_disputa,0.97,1.0,1,D,1.0,1.0,0.3928,0.3031,0.3041,1.443,1.216,0.4961,0.3734,0.3059,0.3206,1.399,1.216,0.4854
GoldCup,2019,GoldCup2019#G2,255406,2019-06-26,Honduras,El Salvador,eliminado,le_vale_empate,0.95,0.97,1,H,4.0,0.0,0.2184,0.2513,0.5303,0.932,1.726,0.4961,0.215,0.2486,0.5363,0.886,1.674,0.4715
GoldCup,2019,GoldCup2019#G3,255407,2019-06-26,Trinidad and Tobago,Guyana,eliminado,tercero_en_disputa,0.95,1.0,1,D,1.0,1.0,0.506,0.2412,0.2527,1.633,1.026,0.4961,0.4525,0.2767,0.2708,1.551,1.026,0.4757
GoldCup,2019,GoldCup2019#G3,255408,2019-06-27,Panama,USA,intrascendente,intrascendente,0.9,0.9,1,A,0.0,1.0,0.1589,0.193,0.6481,0.652,2.007,0.4961,0.1504,0.2456,0.604,0.587,1.806,0.4283
GoldCup,2021,GoldCup2021#G0,704148,2021-07-19,Mexico,El Salvador,le_vale_empate,ya_clasificado,0.97,0.92,1,H,1.0,0.0,0.4522,0.2763,0.2715,1.579,1.079,0.4961,0.4465,0.2897,0.2638,1.532,0.993,0.4625
