fixture_id,date,season,league_tag,neutral,team,team_id,opp,opp_id,is_home,corners,yellow,red,shots,sot,fouls,possession
1522229,2026-03-27,2026,Friendlies,0,Morocco,31,Ecuador,2382,1,2.0,1.0,,12.0,3.0,12.0,53.0
1522229,2026-03-27,2026,Friendlies,0,Ecuador,2382,Morocco,31,0,1.0,0.0,,8.0,2.0,8.0,47.0
1536910,2026-03-27,2026,Friendlies,0,Spain,9,Serbia,14,1,5.0,,,14.0,8.0,14.0,71.0
1536910,2026-03-27,2026,Friendlies,0,Serbia,14,Spain,9,0,1.0,,,2.0,2.0,2.0,29.0
1502470,2026-03-27,2026,Friendlies,0,England,10,Uruguay,7,1,7.0,1.0,,13.0,5.0,13.0,54.0
1502470,2026-03-27,2026,Friendlies,0,Uruguay,7,England,10,0,0.0,2.0,,9.0,1.0,9.0,46.0
1502471,2026-03-27,2026,Friendlies,0,Switzerland,15,Germany,25,1,0.0,,,7.0,3.0,7.0,46.0
1502471,2026-03-27,2026,Friendlies,0,Germany,25,Switzerland,15,0,10.0,,,22.0,9.0,22.0,54.0
1503005,2026-03-27,2026,Friendlies,0,Netherlands,1118,Norway,1090,1,8.0,0.0,,14.0,5.0,14.0,47.0
1503005,2026-03-27,2026,Friendlies,0,Norway,1090,Netherlands,1118,0,2.0,1.0,,5.0,2.0,5.0,53.0
1514461,2026-03-27,2026,Friendlies,0,Saudi Arabia,23,Egypt,32,1,3.0,2.0,,7.0,0.0,7.0,61.0
1514461,2026-03-27,2026,Friendlies,0,Egypt,32,Saudi Arabia,23,0,1.0,0.0,,13.0,8.0,13.0,39.0
1511731,2026-03-27,2026,Friendlies,0,Austria,775,Ghana,1504,1,5.0,1.0,,11.0,7.0,11.0,60.0
1511731,2026-03-27,2026,Friendlies,0,Ghana,1504,Austria,775,0,3.0,2.0,,5.0,1.0,5.0,40.0
1527857,2026-03-27,2026,Friendlies,0,South Africa,1531,Panama,11,1,5.0,1.0,,12.0,5.0,12.0,64.0
1527857,2026-03-27,2026,Friendlies,0,Panama,11,South Africa,1531,0,1.0,2.0,,3.0,2.0,3.0,36.0
1512757,2026-03-26,2026,Friendlies,0,Colombia,8,Croatia,3,1,0.0,,,3.0,1.0,3.0,49.0
1512757,2026-03-26,2026,Friendlies,0,Croatia,3,Colombia,8,0,2.0,,,5.0,1.0,5.0,51.0
1501815,2026-03-26,2026,Friendlies,0,Brazil,6,France,2,1,5.0,4.0,0.0,17.0,4.0,17.0,46.0
1501815,2026-03-26,2026,Friendlies,0,France,2,Brazil,6,0,2.0,3.0,1.0,7.0,3.0,7.0,54.0
1487929,2026-03-26,2024,WCQ_Europe,0,Wales,767,Bosnia & Herzegovina,1113,1,9.0,1.0,,19.0,3.0,8.0,62.0
1487929,2026-03-26,2024,WCQ_Europe,0,Bosnia & Herzegovina,1113,Wales,767,0,3.0,4.0,,14.0,5.0,20.0,38.0
1487928,2026-03-26,2024,WCQ_Europe,0,Ukraine,772,Sweden,5,1,9.0,2.0,,10.0,4.0,12.0,68.0
1487928,2026-03-26,2024,WCQ_Europe,0,Sweden,5,Ukraine,772,0,3.0,1.0,,10.0,4.0,10.0,32.0
