fixture_id,kickoff_utc,team_id,team_name,opponent_id,opponent_name,side,predicted_sot_original,actual_sot,corrected_sot_global_ratio,corrected_sot_global_bias,corrected_sot_home_away_ratio,corrected_sot_pre_fixture,corrected_sot_leave_one_out,error_original,error_corrected_pre_fixture,abs_error_original,abs_error_corrected_pre_fixture,correction_mode,data_quality,confidence,reason
1576805,2026-07-07 20:00,8,Colombia,15,Switzerland,away,4.472,3.0,3.993,3.977,3.784,3.982,4.022,1.472,0.982,1.472,0.982,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1576805,2026-07-07 20:00,15,Switzerland,8,Colombia,home,4.232,2.0,3.779,3.737,3.973,3.768,3.806,2.232,1.768,2.232,1.768,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1578539,2026-07-09 20:00,2,France,31,Morocco,home,3.886,8.0,3.47,3.391,3.648,3.432,3.451,-4.114,-4.568,4.114,4.568,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1578539,2026-07-09 20:00,31,Morocco,2,France,away,3.87,1.0,3.456,3.375,3.274,3.418,3.437,2.87,2.418,2.87,2.418,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1581821,2026-07-10 19:00,1,Belgium,9,Spain,away,4.811,2.0,4.296,4.316,4.071,4.275,4.31,2.811,2.275,2.811,2.275,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1581821,2026-07-10 19:00,9,Spain,1,Belgium,home,7.759,8.0,6.928,7.264,7.284,6.895,6.951,-0.241,-1.105,0.241,1.105,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1581037,2026-07-11 21:00,10,England,1090,Norway,away,5.566,8.0,4.97,5.071,4.709,4.93,4.928,-2.434,-3.07,2.434,3.07,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1581037,2026-07-11 21:00,1090,Norway,10,England,home,4.288,4.0,3.829,3.793,4.026,3.798,3.797,0.288,-0.202,0.288,0.202,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1582681,2026-07-12 01:00,15,Switzerland,26,Argentina,away,3.844,5.0,3.432,3.349,3.252,3.435,3.398,-1.156,-1.565,1.156,1.565,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1582681,2026-07-12 01:00,26,Argentina,15,Switzerland,home,5.307,7.0,4.739,4.812,4.982,4.743,4.691,-1.693,-2.257,1.693,2.257,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1585131,2026-07-14 19:00,2,France,9,Spain,home,4.402,3.0,3.931,3.907,4.133,3.974,3.974,1.402,0.974,1.402,0.974,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1585131,2026-07-14 19:00,9,Spain,2,France,away,5.822,2.0,5.199,5.327,4.926,5.255,5.255,3.822,3.255,3.822,3.255,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
